model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
clip,complex,finetune,celeb_df_frame,0.5292556143056474,0.05371475313460227,0.3436293436293436,0.0,0.5114942528735632,0.0,0.3436293436293436,0.0,1.0,0.0,0.0,0.0,0.7064259172463027,0.02358285463771858
clip,concat,finetune,celeb_df_frame,0.3948460527282074,0.019473280150831586,0.39858429858429856,0.030513739303806124,0.38479919750190444,0.029851356405357347,0.29700990063350485,0.0099982947524628,0.5519850187265918,0.08723191377500432,0.3182745098039215,0.08889550388688588,4.77216990881401,1.604996822793223
clip,concat_frequency,finetune,celeb_df_frame,0.4690185576852464,0.018546015959418242,0.35490347490347485,0.00934588043834688,0.47136168796252553,0.0023894541225454387,0.32809078851163687,0.0019012826768654337,0.8370037453183521,0.016120974439722782,0.10250980392156858,0.022010797392312806,3.4794483583451052,0.7652160811521259
clip,frequency_3,finetune,celeb_df_frame,0.45368511419549096,0.009246980053552671,0.38126126126126125,0.011162686788718387,0.45724608665692923,0.010559358964463762,0.3273150039526237,0.003222188907543766,0.7593258426966292,0.04360731271184553,0.1833333333333333,0.03865854227975616,1.7416883379953805,0.37531720748450287
clip,magnitude,finetune,celeb_df_frame,0.48458363075567307,0.011699960601700794,0.39299871299871303,0.01493603669643191,0.46926918990180655,0.0038822538245685814,0.3354983595354459,0.004072649729100909,0.7809737827715356,0.02113435059694648,0.18988235294117645,0.03250309777328414,1.7641191211391665,0.35657355404188884
clip,none,finetune,celeb_df_frame,0.3324471983549974,0.030974756699470744,0.3916559416559416,0.0416464879939376,0.2852823611239489,0.0594884024433377,0.23866400953708108,0.028910791470377725,0.3652933832709113,0.13639062441266633,0.40545751633986926,0.12426326783662121,3.4202271367682786,0.40770658263322995
clip,phase,finetune,celeb_df_frame,0.458619247998825,0.011254379742080581,0.4018018018018018,0.016530077391580595,0.4312033316123303,0.012757476225336479,0.32035136523018737,0.005572736808031907,0.6608239700374532,0.045635747416890804,0.2661960784313725,0.04585544711360328,1.255487723990542,0.23102312682217113
dino,complex,finetune,celeb_df_frame,0.5024589116545495,0.005449163772910175,0.34388674388674384,0.0005755644729729096,0.5114048163238266,0.00019998620488420813,0.34363732503267386,1.78469604022526e-05,0.9992509363295881,0.0016749572865167408,0.0007843137254901799,0.0017537788058821521,0.7110519856458805,0.005290550821621974
dino,concat,finetune,celeb_df_frame,0.35501600940001465,0.017863143465095783,0.3475933075933076,0.0207605315534528,0.3904173863018897,0.01847893393073268,0.2876148408477153,0.0064842155730083385,0.6101123595505618,0.06445485049107681,0.21015686274509798,0.06341938547826366,2.833595845689539,0.20243079840997377
dino,concat_frequency,finetune,celeb_df_frame,0.41230078578247775,0.028219964812386145,0.3384298584298584,0.0024053499721270084,0.49597178326810365,0.002095453829154811,0.33593389364919524,0.0009424464255549105,0.9472659176029963,0.009247979026620633,0.01968627450980388,0.00746335401882448,2.9108115347842762,0.34084704859405357
