model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
clip,complex,finetune,celeb_df_video,0.529857898215466,0.05955111884309231,0.3436293436293436,0.0,0.5114942528735632,0.0,0.3436293436293436,0.0,1.0,0.0,0.0,0.0,0.0,0.0
clip,concat,finetune,celeb_df_video,0.3648380700594845,0.025366928300857464,0.4806949806949807,0.09261380553135896,0.22280832594508443,0.13929434643837088,0.22903848602834645,0.05475342478230295,0.27303370786516845,0.27212708401556857,0.5894117647058824,0.2738028361423321,0.0,0.0
clip,concat_frequency,finetune,celeb_df_video,0.4301222736285525,0.028304400872956614,0.33320463320463317,0.007300258842157917,0.493576807351943,0.011836410724881813,0.3339058273334693,0.006523053798639605,0.9460674157303369,0.034767974037675925,0.012352941176470561,0.008161433485595044,0.0,0.0
clip,frequency_3,finetune,celeb_df_video,0.42564771976206217,0.015961573197648935,0.34749034749034746,0.007351132341567516,0.4974065114477014,0.009682305933991093,0.3382294147346891,0.0032810909094185435,0.9404494382022472,0.04469735793464292,0.03705882352941172,0.033508765573237904,0.0,0.0
clip,magnitude,finetune,celeb_df_video,0.4822174487772637,0.015927159056135898,0.34749034749034746,0.004527428339597954,0.5028923390858742,0.006526062347604622,0.3406086131350076,0.003367668301408835,0.9606741573033709,0.022117999646100547,0.02647058823529406,0.011579423344135009,0.0,0.0
clip,none,finetune,celeb_df_video,0.2834682749504296,0.03452191280625054,0.45431145431145437,0.1315331686071296,0.16673849239364844,0.13484087230861275,0.16883291289207028,0.06441680370885013,0.21535580524344566,0.2442539162271659,0.5794117647058824,0.32018593214235463,0.0,0.0
clip,phase,finetune,celeb_df_video,0.4422339722405816,0.020196015539251686,0.3293436293436293,0.010178707588003117,0.4730762286337698,0.026821054000901207,0.32385650739932176,0.012552837540064825,0.8797752808988764,0.09090019582103762,0.041176470588235245,0.051112197638184614,0.0,0.0
dino,complex,finetune,celeb_df_video,0.5112475214805023,0.025187186455746326,0.3471042471042471,0.007770120385134407,0.5099450274862568,0.003464173278485447,0.34361513134519267,3.177963347704746e-05,0.9887640449438202,0.02512435929775042,0.011176470588235279,0.024991347983821143,0.0,0.0
dino,concat,finetune,celeb_df_video,0.305925313945803,0.021264325426123103,0.3397683397683398,0.029751032832861856,0.44086368765054107,0.10404955265595119,0.3080536539863099,0.0492106319749128,0.80561797752809,0.2818131189473926,0.09588235294117642,0.19156747345468944,0.0,0.0
dino,concat_frequency,finetune,celeb_df_video,0.36641440846001316,0.0191958222920561,0.3266409266409266,0.017555895821451208,0.47513664056874105,0.034596292205624955,0.3241649174502324,0.01875455734663633,0.8910112359550562,0.1016372721197989,0.03117647058823524,0.029675290013245714,0.0,0.0
dino,frequency_3,finetune,celeb_df_video,0.46024785194976864,0.029884624637336876,0.3486486486486486,0.004003174006433926,0.5108757827495732,0.0013849520280267357,0.3442797085974344,0.0013004135460359674,0.9898876404494381,0.0025124359297750217,0.012941176470588182,0.006771096725424334,0.0,0.0
dino,magnitude,finetune,celeb_df_video,0.48502643754130864,0.022626225168211004,0.35173745173745175,0.008348165370826117,0.5109290572181104,0.0017470714514039448,0.3448895032867372,0.002076756982050823,0.9853932584269662,0.010205562991339803,0.01999999999999996,0.01744987879316624,0.0,0.0
dino,none,finetune,celeb_df_video,0.2719541749283983,0.06717377630697755,0.3182110682110682,0.03023973783877058,0.42435198318273626,0.012437547002429836,0.2991644525371388,0.007684443804442284,0.7322097378277154,0.05290055015664989,0.10147058823529405,0.06884489361719308,0.0,0.0
dino,phase,finetune,celeb_df_video,0.372270323859881,0.016864662939801038,0.34285714285714286,0.0010573794546431732,0.5083719909946235,0.001637310464188902,0.3421439036942546,0.0007044466502120899,0.9887640449438202,0.00688058916512124,0.0047058823529411405,0.004460514967089132,0.0,0.0
mobilenet,complex,finetune,celeb_df_video,0.4408096497025776,0.013660984523971204,0.6324324324324324,0.010449705484729272,0.0472548205034708,0.019776024895311734,0.21726675623227343,0.025993409395079388,0.026966292134831416,0.012179485049819576,0.9494117647058824,0.02204901742822512,0.0,0.0
mobilenet,concat,finetune,celeb_df_video,0.4294382022471909,0.017929487577914766,0.605019305019305,0.009805733667336133,0.18651057975044605,0.03539055904698157,0.31761865815641893,0.04305821209931689,0.1325842696629213,0.028810969449343995,0.8523529411764705,0.018414677461762955,0.0,0.0
mobilenet,concat_frequency,finetune,celeb_df_video,0.41469266358228685,0.0219922405463923,0.5772200772200773,0.026222157735919134,0.1885150906614304,0.021290727332674494,0.2815847920195746,0.0346180986125969,0.1438202247191011,0.02592804664991984,0.8041176470588235,0.050925687089486894,0.0,0.0
mobilenet,frequency_3,finetune,celeb_df_video,0.4304560475875744,0.019487536846429114,0.555984555984556,0.028763830937743914,0.22069774321606156,0.07124987984888649,0.2763797763151305,0.03402425673093673,0.19213483146067414,0.09105630733045623,0.7464705882352941,0.0889529637380648,0.0,0.0
