Ensemble,Fusão,Frame AUC (%),Frame ACC (%),Video AUC (%),Video ACC (%),Video F1 (%)
DINO + XCEPTION + VIT,max,38.85,33.75,34.11,33.98,50.58
CLIP + DINO,max,37.35,33.27,31.99,34.17,49.18
CLIP + DINO + VIT,max,37.29,33.28,31.78,33.59,49.26
CLIP + DINO + XCEPTION,max,37.4,33.81,31.68,33.98,50.58
CLIP + DINO + RESNET,max,35.67,33.28,31.36,33.78,50.07
DINO + XCEPTION + VIT,mean,35.94,32.97,31.26,30.89,40.73
CLIP + DINO,mean,35.63,32.16,31.0,32.05,43.59
DINO + XCEPTION + VIT,geom,35.6,36.87,30.99,34.75,32.4
TODOS OS 6 ROBUSTOS,max,35.26,34.04,30.54,34.36,51.15
CLIP + DINO + VIT,mean,35.11,32.79,30.5,30.31,38.08
CLIP + DINO,geom,35.4,34.09,30.43,31.08,37.7
CLIP + DINO + VIT,geom,34.6,36.34,30.07,33.01,29.9
CLIP + DINO + RESNET,mean,34.63,32.52,29.76,31.85,45.44
CLIP + DINO + XCEPTION,mean,34.91,32.61,29.73,32.43,46.15
CLIP + DINO + RESNET,geom,34.35,33.1,29.27,31.27,39.25
CLIP + DINO + XCEPTION,geom,34.56,33.22,29.12,30.69,38.0
TODOS OS 6 ROBUSTOS,mean,32.71,31.12,28.11,31.08,44.99
TODOS OS 6 ROBUSTOS,geom,32.49,32.79,27.72,28.19,31.87
