Paradigma,Tecnica,Familia,AUC_Espacial_none,AUC_Hibrido_concat,Delta_AUC_Fourier
diffusion,CollabDiff,CLIP,59.24,53.82,-5.42
diffusion,CollabDiff,DINO,53.17,51.69,-1.47
diffusion,CollabDiff,VIT,59.11,40.1,-19.01
diffusion,CollabDiff,RESNET,46.7,57.92,11.23
diffusion,CollabDiff,MOBILENET,27.72,36.13,8.41
diffusion,CollabDiff,XCEPTION,60.11,58.44,-1.68
diffusion,DiT,CLIP,72.18,72.29,0.11
diffusion,DiT,DINO,57.74,68.45,10.71
diffusion,DiT,VIT,68.06,63.83,-4.22
diffusion,DiT,RESNET,58.49,76.76,18.27
diffusion,DiT,MOBILENET,68.86,65.36,-3.5
diffusion,DiT,XCEPTION,72.31,74.91,2.61
editing_t2i,MidJourney,CLIP,80.72,74.88,-5.83
editing_t2i,MidJourney,DINO,71.9,86.93,15.02
editing_t2i,MidJourney,VIT,76.49,74.79,-1.7
editing_t2i,MidJourney,RESNET,94.22,90.62,-3.59
editing_t2i,MidJourney,MOBILENET,91.73,85.41,-6.33
editing_t2i,MidJourney,XCEPTION,88.67,81.1,-7.57
diffusion,RDDM,CLIP,76.06,92.6,16.55
diffusion,RDDM,DINO,56.62,90.22,33.6
diffusion,RDDM,VIT,43.63,32.98,-10.65
diffusion,RDDM,RESNET,47.5,61.05,13.55
diffusion,RDDM,MOBILENET,21.97,14.34,-7.63
diffusion,RDDM,XCEPTION,31.84,31.4,-0.44
diffusion,SiT,CLIP,73.61,74.19,0.58
diffusion,SiT,DINO,65.76,73.23,7.47
diffusion,SiT,VIT,70.34,65.73,-4.61
diffusion,SiT,RESNET,65.84,78.23,12.4
diffusion,SiT,MOBILENET,72.28,69.22,-3.06
diffusion,SiT,XCEPTION,75.71,77.46,1.75
gan,StyleGAN2,CLIP,90.51,94.48,3.97
gan,StyleGAN2,DINO,83.68,79.48,-4.2
gan,StyleGAN2,VIT,73.45,67.65,-5.8
gan,StyleGAN2,RESNET,93.97,96.11,2.14
gan,StyleGAN2,MOBILENET,93.51,90.68,-2.83
gan,StyleGAN2,XCEPTION,90.28,88.41,-1.87
gan,StyleGAN3,CLIP,83.29,87.43,4.15
gan,StyleGAN3,DINO,93.17,82.26,-10.92
gan,StyleGAN3,VIT,76.16,66.87,-9.29
gan,StyleGAN3,RESNET,95.33,96.49,1.16
gan,StyleGAN3,MOBILENET,92.82,90.82,-2.0
gan,StyleGAN3,XCEPTION,94.77,92.7,-2.07
gan,StyleGANXL,CLIP,73.67,74.2,0.53
gan,StyleGANXL,DINO,77.65,81.66,4.01
gan,StyleGANXL,VIT,62.08,72.57,10.49
gan,StyleGANXL,RESNET,80.91,92.95,12.04
gan,StyleGANXL,MOBILENET,75.96,71.91,-4.06
gan,StyleGANXL,XCEPTION,84.69,81.21,-3.48
gan,VQGAN,CLIP,80.91,74.6,-6.31
gan,VQGAN,DINO,61.38,55.52,-5.87
gan,VQGAN,VIT,62.01,62.88,0.87
gan,VQGAN,RESNET,30.34,50.43,20.09
gan,VQGAN,MOBILENET,43.27,41.88,-1.39
gan,VQGAN,XCEPTION,59.1,63.7,4.6
face_swap,blendface,CLIP,74.14,69.46,-4.68
face_swap,blendface,DINO,89.03,84.18,-4.85
face_swap,blendface,VIT,75.1,67.72,-7.38
face_swap,blendface,RESNET,79.42,87.09,7.68
face_swap,blendface,MOBILENET,80.58,70.63,-9.95
face_swap,blendface,XCEPTION,78.31,76.1,-2.21
talking_reenactment,cdf_reenactment,CLIP,66.38,72.61,6.23
talking_reenactment,cdf_reenactment,DINO,74.42,77.66,3.25
talking_reenactment,cdf_reenactment,VIT,75.39,68.15,-7.24
talking_reenactment,cdf_reenactment,RESNET,72.06,81.15,9.1
talking_reenactment,cdf_reenactment,MOBILENET,73.62,63.79,-9.82
talking_reenactment,cdf_reenactment,XCEPTION,80.78,78.51,-2.27
diffusion,ddim,CLIP,56.22,59.14,2.93
diffusion,ddim,DINO,43.14,45.5,2.36
diffusion,ddim,VIT,50.85,38.78,-12.07
diffusion,ddim,RESNET,44.93,54.2,9.27
diffusion,ddim,MOBILENET,51.91,43.21,-8.7
diffusion,ddim,XCEPTION,51.73,55.84,4.11
face_swap,deepfacelab,CLIP,71.51,76.34,4.83
face_swap,deepfacelab,DINO,72.51,79.59,7.08
face_swap,deepfacelab,VIT,72.33,65.45,-6.88
face_swap,deepfacelab,RESNET,69.16,81.16,12.0
face_swap,deepfacelab,MOBILENET,70.63,69.2,-1.44
face_swap,deepfacelab,XCEPTION,76.92,79.03,2.11
editing_t2i,e4e,CLIP,89.53,92.42,2.9
editing_t2i,e4e,DINO,87.07,79.27,-7.8
editing_t2i,e4e,VIT,77.79,66.26,-11.53
editing_t2i,e4e,RESNET,87.26,88.95,1.69
editing_t2i,e4e,MOBILENET,83.83,83.22,-0.61
editing_t2i,e4e,XCEPTION,83.28,83.15,-0.12
face_swap,faceswap,CLIP,78.55,78.44,-0.12
face_swap,faceswap,DINO,69.35,78.16,8.81
face_swap,faceswap,VIT,77.08,69.12,-7.96
face_swap,faceswap,RESNET,64.83,77.46,12.62
face_swap,faceswap,MOBILENET,73.94,71.0,-2.94
face_swap,faceswap,XCEPTION,77.02,78.85,1.83
commercial_avatar,heygen,CLIP,72.76,60.34,-12.42
commercial_avatar,heygen,DINO,58.78,74.96,16.18
commercial_avatar,heygen,VIT,60.46,58.53,-1.92
commercial_avatar,heygen,RESNET,43.48,83.19,39.72
commercial_avatar,heygen,MOBILENET,46.68,58.54,11.85
commercial_avatar,heygen,XCEPTION,68.99,70.01,1.02
face_swap,mobileswap,CLIP,63.89,71.22,7.33
face_swap,mobileswap,DINO,70.79,83.26,12.46
face_swap,mobileswap,VIT,72.63,67.92,-4.71
face_swap,mobileswap,RESNET,71.19,86.33,15.14
face_swap,mobileswap,MOBILENET,70.52,73.92,3.41
face_swap,mobileswap,XCEPTION,74.15,75.62,1.47
diffusion,pixart,CLIP,86.05,91.06,5.01
diffusion,pixart,DINO,82.05,87.04,4.99
diffusion,pixart,VIT,90.33,86.77,-3.56
diffusion,pixart,RESNET,93.75,96.22,2.47
diffusion,pixart,MOBILENET,93.89,87.59,-6.3
diffusion,pixart,XCEPTION,93.75,94.78,1.03
