Paradigma,Tecnica,N_Amostras_Fake,Dificuldade_Media_AUC,Melhor_Modelo_Individual,Melhor_Indiv_AUC,Melhor_Ensemble,Melhor_Ens_AUC,Trio_Campeao_AUC,Trio_Campeao_Acc,Trio_Campeao_Recall,CLIP_none_s987_AUC,RESNET_concat_s123_AUC,DINO_concat_s123_AUC,XCEPTION_concat_s42_AUC
gan,starganv2,199,40.99,resnet_frequency_3_s123,71.45,CLIP_DINO_Robusto,49.16,45.19,64.68,27.64,57.11,33.4,27.95,29.24
diffusion,RDDM,250,43.87,dino_concat_s123,99.99,Quarteto_Campeao,87.89,81.96,67.48,94.0,71.27,67.89,99.99,33.13
commercial_avatar,heygen,250,48.54,resnet_concat_s123,87.22,CLIP_Rob_RESNET_Concat,85.49,81.2,66.85,80.8,72.37,87.22,79.46,68.11
gan,VQGAN,250,49.37,clip_none_s7,87.34,Deep_Clip_None,87.08,81.48,67.14,86.8,87.04,57.0,48.75,66.48
diffusion,CollabDiff,250,49.73,dino_concat_frequency_s7,73.23,Deep_Clip_None,62.08,56.85,65.1,44.0,61.93,43.65,53.82,55.54
diffusion,ddim,250,50.5,vit_frequency_3_s2025,69.43,Trio_Campeao,63.59,63.59,65.57,54.0,64.42,58.4,52.27,55.26
diffusion,DiT,250,51.72,resnet_concat_s123,85.44,CLIP_Rob_RESNET_Concat,89.54,89.26,67.4,92.4,83.42,85.44,64.67,76.81
face_swap,mobileswap,250,52.87,resnet_concat_s123,91.81,Super_Top5,90.94,90.22,67.5,94.4,81.97,91.81,82.98,77.91
face_swap,faceswap,250,53.25,clip_none_s987,89.21,Trio_Campeao,93.27,93.27,67.73,99.2,89.21,83.82,79.61,80.89
talking_reenactment,cdf_reenactment,500,54.19,dino_none_s987,88.79,Super_Top5,91.17,90.49,68.67,93.8,84.71,88.57,80.82,80.93
diffusion,SiT,250,54.23,resnet_concat_s123,87.85,Trio_Campeao,90.26,90.26,67.61,96.8,82.77,87.85,72.05,78.54
face_swap,deepfacelab,250,55.18,resnet_concat_s2024,86.22,Quarteto_Campeao,89.98,89.54,67.46,93.6,80.35,85.38,83.47,80.01
gan,stargan,200,56.49,clip_concat_s7,83.09,Trio_Campeao,81.07,81.07,66.67,79.5,75.06,69.4,64.53,53.31
face_swap,blendface,250,57.51,resnet_concat_s123,92.53,Super_Top5,93.42,91.78,67.67,98.0,85.36,92.53,88.52,78.06
editing_t2i,whichfaceisreal,250,59.33,clip_none_s2024,93.22,Todos_6_Padrao,91.24,87.49,67.73,99.2,90.35,57.82,84.31,74.63
face_swap,uniface,250,59.91,dino_concat_s123,94.69,Quarteto_Campeao,96.55,94.79,67.67,98.0,89.55,93.21,94.69,81.11
gan,StyleGAN2,250,60.9,resnet_concat_s42,98.39,Deep_Resnet_Concat,99.34,97.92,67.77,100.0,93.16,98.33,85.89,89.27
editing_t2i,styleclip,250,61.46,dino_none_s2025,88.93,Deep_Clip_None,87.97,85.24,67.35,91.2,88.19,61.14,81.38,68.2
gan,StyleGANXL,250,62.9,resnet_concat_s123,96.04,Deep_Resnet_Concat,96.05,92.53,67.65,97.6,84.35,96.04,87.02,82.73
gan,StyleGAN3,250,67.21,resnet_concat_s42,98.98,Deep_Resnet_Concat,99.63,97.4,67.75,99.6,92.35,98.54,78.07,93.46
editing_t2i,e4e,250,68.57,clip_concat_s7,94.59,Trio_Campeao,96.52,96.52,67.77,100.0,91.98,92.28,83.4,83.53
editing_t2i,MidJourney,248,71.04,dino_concat_s123,96.99,Super_Top5,93.97,86.73,67.09,85.89,80.5,89.18,96.99,82.66
diffusion,pixart,250,72.53,resnet_concat_s123,98.51,Deep_Resnet_Concat,99.28,97.2,67.77,100.0,92.15,98.51,94.43,95.07
diffusion,sd2.1,250,76.75,resnet_concat_s123,98.44,Super_Top5,99.06,98.3,67.77,100.0,94.6,98.44,93.81,96.22
