composition,label,n_models,strategy,members,test_auc,test_acc,test_f1,test_d_auc,test_d_acc,test_d_f1,test_d_fp,delta_auc,score,grade
robust_clip_dino,CLIP+DINO Robustos,2,geometric,clip+dino,0.94,0.8594,0.8677,0.8826,0.7872,0.7917,7931,-0.0574,9.15,A+
robust_clip_dino_xception,CLIP+DINO+XCEPTION Robustos,3,geometric,clip+dino+xception,0.9362,0.8554,0.8641,0.8779,0.7853,0.7917,8959,-0.0583,9.11,A+
robust_clip_dino,CLIP+DINO Robustos,2,mean,clip+dino,0.938,0.8461,0.8507,0.8768,0.7644,0.7572,5343,-0.0612,9.11,A+
robust_clip_dino_vit,CLIP+DINO+VIT Robustos,3,geometric,clip+dino+vit,0.9313,0.8382,0.8445,0.8753,0.771,0.7713,7604,-0.056,9.09,A+
robust_clip_dino,CLIP+DINO Robustos,2,stacking,clip+dino,0.9379,0.8548,0.8611,0.875,0.7678,0.7657,6942,-0.0629,9.09,A+
robust_clip_dino_resnet,CLIP+DINO+RESNET Robustos,3,geometric,clip+dino+resnet,0.935,0.838,0.8439,0.8755,0.7671,0.7665,7604,-0.0595,9.09,A+
robust_clip_dino_vit,CLIP+DINO+VIT Robustos,3,stacking,clip+dino+vit,0.934,0.8576,0.8655,0.8721,0.7747,0.777,8039,-0.0619,9.07,A+
robust_clip_dino,CLIP+DINO Robustos,2,max,clip+dino,0.9348,0.8455,0.8517,0.8711,0.7612,0.7572,6875,-0.0637,9.06,A+
robust_clip_dino_resnet,CLIP+DINO+RESNET Robustos,3,stacking,clip+dino+resnet,0.9336,0.8405,0.8463,0.8681,0.7591,0.7565,7567,-0.0656,9.04,A+
robust_clip_dino_xception,CLIP+DINO+XCEPTION Robustos,3,stacking,clip+dino+xception,0.9323,0.8541,0.8615,0.8669,0.7713,0.7724,7849,-0.0654,9.03,A+
todos_robustos,Todos Robustos (6M),6,stacking,clip+dino+vit+resnet+mobilenet+xception,0.9326,0.8432,0.8495,0.8665,0.7623,0.7612,7841,-0.0661,9.03,A+
robust_clip_dino_vit,CLIP+DINO+VIT Robustos,3,mean,clip+dino+vit,0.9255,0.852,0.8613,0.8651,0.7773,0.7826,9110,-0.0605,9.01,A+
robust_clip_dino_vit,CLIP+DINO+VIT Robustos,3,max,clip+dino+vit,0.9244,0.8333,0.8384,0.8606,0.7488,0.7414,6870,-0.0638,8.98,A+
robust_clip_dino_resnet,CLIP+DINO+RESNET Robustos,3,mean,clip+dino+resnet,0.9266,0.8282,0.8335,0.8589,0.7499,0.7469,8333,-0.0677,8.97,A+
todos_robustos,Todos Robustos (6M),6,geometric,clip+dino+vit+resnet+mobilenet+xception,0.9221,0.8305,0.8385,0.8595,0.7644,0.7722,11167,-0.0626,8.97,A+
robust_clip_dino_xception,CLIP+DINO+XCEPTION Robustos,3,mean,clip+dino+xception,0.92,0.8539,0.8649,0.8497,0.7804,0.7908,11145,-0.0703,8.9,A+
robust_clip_dino_resnet,CLIP+DINO+RESNET Robustos,3,max,clip+dino+resnet,0.9122,0.8295,0.8388,0.8381,0.7416,0.7416,10162,-0.074,8.82,A+
todos_robustos,Todos Robustos (6M),6,mean,clip+dino+vit+resnet+mobilenet+xception,0.9105,0.8189,0.8278,0.8351,0.7386,0.748,13806,-0.0753,8.79,A+
robust_clip_dino_xception,CLIP+DINO+XCEPTION Robustos,3,max,clip+dino+xception,0.9111,0.8339,0.8418,0.8234,0.7414,0.7464,11947,-0.0877,8.72,A+
todos_robustos,Todos Robustos (6M),6,max,clip+dino+vit+resnet+mobilenet+xception,0.9018,0.8221,0.8318,0.8184,0.7314,0.7357,12534,-0.0834,8.67,A+
