composition,label,n_models,strategy,members,val_auc,val_acc,test_auc,test_acc,test_f1,test_recall,test_precision,test_d_auc,test_d_acc,test_d_f1,test_d_recall,test_d_precision,test_d_fp,test_d_fn,delta_auc,delta_acc,score,grade
robust_987_only,CLIP Robusto (seed 987 apenas),1,mean,clip/none/seed_987,0.985,0.9397,0.9067,0.8172,0.8229,0.7402,0.9263,0.8462,0.7395,0.7294,0.6121,0.9021,6934,40471,-0.0604,-0.0778,8.86,A+
robust_987_only,CLIP Robusto (seed 987 apenas),1,weighted,clip/none/seed_987,0.985,0.9397,0.9067,0.8172,0.8229,0.7402,0.9263,0.8462,0.7395,0.7294,0.6121,0.9021,6934,40471,-0.0604,-0.0778,8.86,A+
robust_987_only,CLIP Robusto (seed 987 apenas),1,geometric,clip/none/seed_987,0.985,0.9397,0.9067,0.8172,0.8229,0.7402,0.9263,0.8462,0.7395,0.7294,0.6121,0.9021,6934,40471,-0.0604,-0.0778,8.86,A+
robust_987_only,CLIP Robusto (seed 987 apenas),1,max,clip/none/seed_987,0.985,0.9397,0.9067,0.8172,0.8229,0.7402,0.9263,0.8462,0.7395,0.7294,0.6121,0.9021,6934,40471,-0.0604,-0.0778,8.86,A+
robust_987_only,CLIP Robusto (seed 987 apenas),1,stacking,clip/none/seed_987,0.985,0.9398,0.9067,0.8173,0.823,0.7405,0.9261,0.8462,0.7396,0.7296,0.6126,0.9019,6952,40422,-0.0604,-0.0777,8.86,A+
clip987_dino42,CLIP-987 + DINO-42 (2M),2,geometric,clip/none/987 + dino/none/42,0.9982,0.9833,0.9517,0.8894,0.8969,0.8391,0.9632,0.8284,0.7437,0.7655,0.7295,0.8052,18412,28226,-0.1233,-0.1457,8.81,A+
clip987_dino42,CLIP-987 + DINO-42 (2M),2,mean,clip/none/987 + dino/none/42,0.9981,0.9858,0.949,0.871,0.8765,0.7979,0.9721,0.8234,0.7156,0.7205,0.6393,0.8255,14101,37642,-0.1256,-0.1554,8.78,A+
clip987_dino42,CLIP-987 + DINO-42 (2M),2,weighted,clip/none/987 + dino/none/42,0.9981,0.9858,0.949,0.871,0.8765,0.7979,0.9721,0.8234,0.7156,0.7205,0.6393,0.8255,14101,37642,-0.1256,-0.1554,8.78,A+
clip_none_42plus987,CLIP Robusto (seed 42 + seed 987),2,stacking,clip/none/seed_42 + clip/none/seed_987,0.9871,0.9447,0.9225,0.8259,0.831,0.7464,0.9372,0.8266,0.741,0.734,0.6231,0.893,7794,39328,-0.0959,-0.0849,8.76,A+
clip_none_42plus987,CLIP Robusto (seed 42 + seed 987),2,geometric,clip/none/seed_42 + clip/none/seed_987,0.9875,0.9438,0.9244,0.8285,0.8338,0.7503,0.9381,0.8243,0.7367,0.7341,0.6339,0.8719,9716,38199,-0.1002,-0.0918,8.74,A+
clip987_clip42_dino42,CLIP-987 + CLIP-42 + DINO-42 (3M),3,geometric,clip/none/987 + clip/none/42 + dino/none/42,0.9975,0.9796,0.9511,0.8789,0.8854,0.8153,0.9685,0.8138,0.7372,0.7559,0.7094,0.8089,17489,30322,-0.1373,-0.1417,8.72,A+
robust987_dino_resnetcf,CLIP-987 + DINO + ResNet-CF (5 modelos),5,stacking,"clip/none/987 + dino/none/{42,123} + resnet/concat_frequency/{42,123}",0.9984,0.9855,0.9527,0.8777,0.8838,0.811,0.9709,0.8139,0.709,0.7148,0.636,0.8159,14971,37979,-0.1388,-0.1687,8.72,A+
clip_none_42plus987,CLIP Robusto (seed 42 + seed 987),2,mean,clip/none/seed_42 + clip/none/seed_987,0.9868,0.9443,0.924,0.8314,0.8372,0.7559,0.938,0.8168,0.7387,0.739,0.6452,0.8648,10527,37024,-0.1072,-0.0927,8.7,A+
clip_none_42plus987,CLIP Robusto (seed 42 + seed 987),2,weighted,clip/none/seed_42 + clip/none/seed_987,0.9868,0.9443,0.924,0.8314,0.8372,0.7559,0.938,0.8168,0.7387,0.739,0.6452,0.8648,10527,37024,-0.1072,-0.0927,8.7,A+
clip987_dino42,CLIP-987 + DINO-42 (2M),2,stacking,clip/none/987 + dino/none/42,0.9981,0.9865,0.949,0.8848,0.8919,0.8284,0.9659,0.8105,0.7038,0.7205,0.6656,0.7852,19005,34889,-0.1386,-0.181,8.69,A+
