model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
resnet,none,finetune,42,0.8988364791207563,0.7965341555507922,0.800721322064919,0.9134172551427694,0.7127797211174469,0.9091518259838663,0.6739091842673386,0.627413477551155,0.6449673462761139,0.7110556825792743,0.5901193157314677,0.6775598567047241,-0.22492729485341767,-0.16912067799963726
resnet,none,finetune,123,0.8893023303687602,0.7896365425096319,0.7963889967603108,0.8949854129800564,0.7173606785183766,0.8868199273214608,0.6735816762000355,0.625209539041589,0.6399387507260151,0.712552178258569,0.5807561454789401,0.6849823458158295,-0.21572065416872466,-0.16442700346804284
resnet,none,finetune,2024,0.8677470617970909,0.7483882669128922,0.7443572074738383,0.8918282418744062,0.6387368824572333,0.8958274271281668,0.6568543717561092,0.5854836848093126,0.5797111140831884,0.6925688720823403,0.4984810005270976,0.7024690085307079,-0.21089269004098177,-0.1629045821035796
resnet,none,finetune,7,0.8833106315271932,0.7839865455324903,0.7909692859992022,0.8886352772466539,0.7126455508170013,0.8799128888430711,0.6559425751785914,0.618965962615487,0.6320208914979671,0.7082931820074473,0.5705783698308496,0.6840287621453055,-0.2273680563486018,-0.16502058291700328
resnet,none,finetune,2025,0.8831446723668861,0.7671244922972075,0.7669861800823806,0.8998632152166619,0.6683022665197182,0.9000025772531636,0.66345169971254,0.6025655822849512,0.5910417373600272,0.7209934460158676,0.5007810628204514,0.7394268188964201,-0.21969297265434606,-0.1645589100122563
resnet,magnitude,finetune,42,0.7621782239560235,0.6905417511692965,0.7444341057122756,0.70712253168923,0.7859025348603191,0.5623179814953223,0.5606516180728067,0.5590089421644765,0.6436555978451549,0.5997665987982321,0.6944750586995064,0.3768588438442308,-0.2015266058832168,-0.13153280900482
resnet,magnitude,finetune,123,0.7520467647668421,0.6885521607940774,0.7314678355645066,0.7234626921634796,0.7396521155781303,0.619842272106389,0.5435558547266475,0.5465272854182811,0.6150565928580093,0.5992654077986781,0.6317025252767262,0.4319991752789877,-0.2084909100401946,-0.14202487537579633
resnet,magnitude,finetune,2024,0.7427685352533426,0.6805168538090762,0.721691044454552,0.7210868733256793,0.7222962288561982,0.6243395788768331,0.5284225285077958,0.5421743694592381,0.6222736135673151,0.5905667685157292,0.6575782260769563,0.3870003350429112,-0.21434600674554682,-0.1383424843498381
resnet,magnitude,finetune,7,0.7550264262677269,0.6923609622582401,0.7354125699591589,0.725596276362551,0.7454981072404044,0.620911832169274,0.5429552865693412,0.5428448943923231,0.6143524786261383,0.5950565390384321,0.6349417796731995,0.4190098193345532,-0.21207113969838565,-0.14951606786591698
resnet,magnitude,finetune,2025,0.7394586801253629,0.6755703584010728,0.7247333790331231,0.7057984704535959,0.7447122526235086,0.5826009638926832,0.528996413530361,0.5438067129438793,0.6387325629474876,0.585088908380512,0.7032057118213618,0.3294760444318445,-0.2104622665950019,-0.13176364545719355
resnet,phase,finetune,42,0.6360810945767699,0.5988502146229396,0.6410932229226699,0.6583414969146713,0.6247256696535531,0.5640576273807376,0.5195211190570812,0.5328254931381117,0.6104641837487569,0.5849419493088367,0.6383152043701183,0.3909821911806396,-0.11655997551968866,-0.06602472148482796
resnet,phase,finetune,123,0.6488991148692059,0.6104744788317477,0.6581418793441927,0.6625296197024434,0.6538118740715895,0.5522022628282777,0.5226207636163392,0.5445541833610886,0.6348618840522237,0.5875923720657086,0.6904020317216925,0.3484446277157805,-0.12627835125286668,-0.06592029547065903
resnet,phase,finetune,2024,0.655791112310912,0.6130576486559273,0.6557125322144467,0.6694659690046333,0.642512818055489,0.5734517151619803,0.5237640649324591,0.5465053009942455,0.6343687685558559,0.5899773336080775,0.6859839953998754,0.3589598206231798,-0.13202704737845294,-0.06655234766168172
resnet,phase,finetune,7,0.644910425842903,0.602263296454462,0.6339277132812302,0.6712984786800943,0.6004983468302266,0.6046364784412773,0.5178488608271177,0.5334190725870721,0.6133018726114069,0.5844358787373685,0.6451674732857349,0.3831602278291796,-0.12706156501578536,-0.06884422386738986
resnet,phase,finetune,2025,0.6479927331291127,0.6103480683935432,0.6498202078476311,0.670465085464423,0.6304087402367148,0.5833741398417567,0.521756154458387,0.5443343391207329,0.6373763837799773,0.5862446293226912,0.6982797450764292,0.3373366665807582,-0.12623657867072569,-0.06601372927281024
resnet,complex,finetune,42,0.7310925061620142,0.659582186021204,0.7424315512824778,0.6557626334232004,0.8554985864200488,0.3961495837736141,0.5508591033651896,0.5553155589265005,0.6367640126602169,0.5989695945945946,0.6796492405002635,0.3881343264348857,-0.18023340279682454,-0.10426662709470347
resnet,complex,finetune,123,0.7344426264093555,0.6683264906813523,0.7330546524229757,0.6807344725599737,0.794086923187503,0.4992268240509265,0.55248144131655,0.5510011157095198,0.6191031247960164,0.6028347543424768,0.6362738990847668,0.436341846859617,-0.18196118509280557,-0.11732537497183249
